title,price_gbp,price_inr,rating,in_stock,category
A Light in the Attic,51.77,5694.7,3,True,Poetry
Tipping the Velvet,53.74,5911.4,1,True,Historical Fiction
Soumission,50.1,5511.0,1,True,Fiction
Sharp Objects,47.82,5260.2,4,True,Mystery
Sapiens: A Brief History of Humankind,54.23,5965.3,5,True,History
The Requiem Red,22.65,2491.5,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,3667.4,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1972.3,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2486.0,4,True,Default
The Black Maria,52.15,5736.5,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1538.9,2,True,Default
Shakespeare's Sonnets,20.66,2272.6,4,True,Poetry
Set Me Free,17.46,1920.6,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5751.9,5,True,Sequential Art
Rip it Up and Start Again,35.02,3852.2,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6297.5,3,True,Music
Olio,23.88,2626.8,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,4134.9,1,True,Science Fiction
Libertarianism for Beginners,51.33,5646.3,2,True,Politics
It's Only the Himalayas,45.17,4968.7,2,True,Travel
In Her Wake,12.84,1412.4,1,True,Unknown
How Music Works,37.32,4105.2,2,True,Unknown
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3357.2,3,True,Unknown
Chase Me (Paris Nights #2),25.27,2779.7,5,True,Unknown
Black Dust,34.53,3798.3,5,True,Unknown
Birdsong: A Story in Pictures,54.64,6010.4,3,True,Unknown
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2475.0,3,True,Unknown
Aladdin and His Wonderful Lamp,53.13,5844.3,3,True,Unknown
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4433.0,5,True,Unknown
Wall and Piece,44.18,4859.8,4,True,Unknown
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1942.6,5,True,Unknown
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3415.5,3,True,Unknown
The Elephant Tree,23.82,2620.2,5,True,Unknown
The Bear and the Piano,36.89,4057.9,1,True,Unknown
Sophie's World,15.94,1753.4,5,True,Unknown
Penny Maybe,33.29,3661.9,3,True,Unknown
